"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000192","대전송촌고등학교","04","공립","N","","12","319","26.6","12","307","25.6","12","297","24.8","4","37","9.3","0","0","0","40","960","24","66","14.5"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000193","대전신일여자고등학교","04","사립","N","","10","176","17.6","10","152","15.2","10","140","14","0","0","0","0","0","0","30","468","15.6","58","8.1"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000194","대전여자고등학교","04","공립","N","","12","314","26.2","12","305","25.4","12","292","24.3","2","12","6","0","0","0","38","923","24.3","73","12.6"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000197","대전여자상업고등학교","04","사립","N","","10","140","14","10","138","13.8","10","143","14.3","0","0","0","0","0","0","30","421","14","58","7.3"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000198","대전국제통상고등학교","04","공립","N","","8","111","13.9","9","77","8.6","9","90","10","1","6","6","1","2","2","28","286","10.2","51","5.6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000199","대전예술고등학교","04","사립","N","","6","126","21","6","136","22.7","6","132","22","0","0","0","0","0","0","18","394","21.9","109","3.6"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000200","대전외국어고등학교","04","공립","N","","10","256","25.6","10","255","25.5","10","218","21.8","0","0","0","0","0","0","30","729","24.3","61","12"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000201","대전전자디자인고등학교","04","공립","N","","8","143","17.9","8","100","12.5","8","84","10.5","1","7","7","0","0","0","25","334","13.4","47","7.1"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000202","대전중앙고등학교","04","사립","N","","9","149","16.6","9","171","19","9","161","17.9","0","0","0","0","0","0","27","481","17.8","52","9.3"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000204","대전체육고등학교","04","공립","N","","3","71","23.7","3","82","27.3","3","80","26.7","0","0","0","0","0","0","9","233","25.9","26","9"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000205","대전한빛고등학교","04","사립","N","","8","176","22","8","182","22.8","8","200","25","0","0","0","0","0","0","24","558","23.3","45","12.4"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000206","동대전고등학교","04","공립","N","","11","260","23.6","11","303","27.5","11","321","29.2","3","19","6.3","0","0","0","36","903","25.1","68","13.3"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000207","동방고등학교","04","사립","N","","10","251","25.1","10","263","26.3","10","279","27.9","0","0","0","0","0","0","30","793","26.4","63","12.6"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000208","대전동신과학고등학교","04","공립","N","","5","82","16.4","5","79","15.8","5","52","10.4","0","0","0","0","0","0","15","213","14.2","37","5.8"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000211","명석고등학교","04","사립","N","","11","195","17.7","11","226","20.5","11","246","22.4","1","6","6","0","0","0","34","673","19.8","62","10.9"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000212","보문고등학교","04","사립","N","","12","196","16.3","12","224","18.7","12","192","16","0","0","0","0","0","0","36","612","17","68","9"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000213","대전이문고등학교","04","사립","N","","8","154","19.3","8","160","20","8","165","20.6","1","3","3","0","0","0","25","482","19.3","46","10.5"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000214","서대전고등학교","04","사립","N","","10","179","17.9","10","196","19.6","10","186","18.6","1","3","3","0","0","0","31","564","18.2","57","9.9"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000216","서대전여자고등학교","04","사립","N","","8","130","16.3","8","133","16.6","8","126","15.8","0","0","0","0","0","0","24","389","16.2","47","8.3"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000217","서일고등학교","04","사립","N","","9","178","19.8","9","194","21.6","9","204","22.7","0","0","0","0","0","0","27","576","21.3","51","11.3"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000219","서일여자고등학교","04","사립","N","","8","145","18.1","8","162","20.3","8","155","19.4","0","0","0","0","0","0","24","462","19.3","45","10.3"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000223","신탄진고등학교","04","공립","N","","8","143","17.9","8","149","18.6","8","159","19.9","1","6","6","0","0","0","25","457","18.3","47","9.7"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000225","우송고등학교","04","사립","N","","10","247","24.7","10","264","26.4","10","278","27.8","2","16","8","0","0","0","32","805","25.2","57","14.1"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000226","유성고등학교","04","공립","N","","12","300","25","12","332","27.7","12","334","27.8","1","7","7","1","2","2","38","975","25.7","69","14.1"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000228","유성생명과학고등학교","04","공립","N","","10","186","18.6","10","178","17.8","10","165","16.5","4","28","7","0","0","0","34","557","16.4","64","8.7"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000229","유성여자고등학교","04","사립","N","","8","161","20.1","8","171","21.4","8","183","22.9","0","0","0","0","0","0","24","515","21.5","46","11.2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000231","중일고등학교","04","사립","N","","8","204","25.5","8","211","26.4","8","250","31.3","0","0","0","0","0","0","24","665","27.7","44","15.1"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000232","청란여자고등학교","04","사립","N","","8","131","16.4","8","128","16","8","121","15.1","0","0","0","0","0","0","24","380","15.8","45","8.4"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000233","충남고등학교","04","공립","N","","12","293","24.4","12","296","24.7","12","276","23","1","7","7","1","3","3","38","875","23","69","12.7"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000234","충남기계공업고등학교","04","공립","N","","11","199","18.1","14","235","16.8","14","239","17.1","2","17","8.5","0","0","0","41","690","16.8","83","8.3"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000236","충남여자고등학교","04","공립","N","","13","246","18.9","13","281","21.6","13","335","25.8","3","15","5","1","4","4","43","881","20.5","76","11.6"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000239","한밭고등학교","04","공립","N","","10","209","20.9","10","237","23.7","11","280","25.5","1","7","7","0","0","0","32","733","22.9","59","12.4"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000243","호수돈여자고등학교","04","사립","N","","10","192","19.2","10","199","19.9","10","195","19.5","1","4","4","0","0","0","31","590","19","56","10.5"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001048","대전반석고등학교","04","공립","N","","10","262","26.2","10","279","27.9","10","309","30.9","2","14","7","0","0","0","32","864","27","62","13.9"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001049","대전구봉고등학교","04","공립","N","","9","223","24.8","9","237","26.3","9","263","29.2","2","17","8.5","0","0","0","29","740","25.5","55","13.5"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001085","대전전민고등학교","04","공립","N","","9","189","21","10","212","21.2","10","209","20.9","1","4","4","0","0","0","30","614","20.5","55","11.2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001086","대전괴정고등학교","04","공립","N","","10","228","22.8","10","261","26.1","10","286","28.6","2","14","7","0","0","0","32","789","24.7","59","13.4"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001089","대전지족고등학교","04","공립","N","","11","291","26.5","11","312","28.4","11","341","31","1","3","3","0","0","0","34","947","27.9","64","14.8"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001112","대전용산고등학교","04","공립","N","","10","255","25.5","10","263","26.3","10","296","29.6","2","11","5.5","0","0","0","32","825","25.8","65","12.7"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060001145","대전가오고등학교","04","공립","N","","8","201","25.1","8","213","26.6","8","235","29.4","3","21","7","0","0","0","27","670","24.8","50","13.4"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001177","대전복수고등학교","04","공립","N","","8","183","22.9","8","209","26.1","8","232","29","2","13","6.5","0","0","0","26","637","24.5","53","12"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001274","대전도안고등학교","04","공립","N","","11","302","27.5","11","309","28.1","12","330","27.5","1","2","2","0","0","0","35","943","26.9","66","14.3"
