"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000468","대전삼육중학교","03","사립","N","","21","328","24","1","5780000","8","81","15","0","2528000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000469","대전삼천중학교","03","공립","N","","53","1072","53","0","0","55","497","55","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000470","대전서중학교","03","공립","N","","26","268","26","0","0","3","33","3","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000471","대전송강중학교","03","공립","N","","25","302","25","0","915000","3","27","3","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000472","대전어은중학교","03","공립","N","","30","493","30","0","0","8","82","8","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000473","대전월평중학교","03","공립","N","","20","434","20","3","2100000","3","26","3","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000475","대전전민중학교","03","공립","N","","32","626","32","1","5900000","25","212","25","0","2800000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000476","대전정림중학교","03","공립","N","","18","177","18","0","1000000","5","40","5","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000477","대전지족중학교","03","공립","N","","43","600","41","2","10800000","23","211","23","0","2400000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000478","대전체육중학교","03","공립","N","","5","105","5","0","0","2","15","2","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000479","대전탄방중학교","03","공립","N","","116","2806","116","0","3400000","22","171","22","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060000480","동방여자중학교","03","사립","N","","41","610","50","1","19360000","16","149","16","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000482","성덕중학교","03","사립","N","","18","291","18","2","900000","20","222","20","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000485","유성중학교","03","공립","N","","45","909","47","0","6700000","25","256","26","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060000486","진잠중학교","03","공립","N","","20","222","20","0","500000","4","47","4","0","1000000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060001060","대전느리울중학교","03","공립","N","","37","761","37","0","0","14","116","14","0","500000"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001061","대전장대중학교","03","공립","N","","21","235","21","0","4000000","3","27","3","0","0"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060001062","대전신계중학교","03","공립","N","","33","610","33","0","2140000","7","80","7","0","700000"
