"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000185","대전둔원고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","7","0","11","17","26","5","43","0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","0","0","1","0","1","0","2","0","2","0","6","0","6","1","0","0","1","25","44","5","69","0","0","0","5"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000186","대전만년고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","1","0","1","6","8","0","14","16","21","5","37","0","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","1","2","1","11","0","12","0","1","0","1","25","47","8","72","0","0","0","8"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000187","대전제일고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","3","0","10","5","11","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","8","0","22","0","0","0","0","28","22","2","50","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000191","대전성모여자고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","8","6","0","14","10","16","2","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","11","0","1","0","1","24","30","2","54","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000192","대전송촌고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","10","5","0","15","17","32","9","49","2","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","9","10","0","19","1","1","0","2","40","52","12","92","0","0","0","12"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000193","대전신일여자고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","10","3","0","13","9","12","3","21","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","9","19","0","28","0","0","0","0","30","36","3","66","0","0","0","3"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000194","대전여자고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","7","11","0","18","12","36","5","48","0","3","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","2","0","2","3","9","0","12","0","0","0","0","22","65","6","87","0","0","0","6"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000197","대전여자상업고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","9","0","15","3","7","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","11","21","0","32","2","1","0","3","24","39","1","63","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000198","대전국제통상고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","11","0","16","11","13","1","24","1","1","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","6","7","0","13","0","1","0","1","25","35","1","60","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000199","대전예술고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","5","0","12","6","13","2","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","0","8","20","53","0","73","38","76","2","114","0","0","0","2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000200","대전외국어고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","7","12","0","19","12","29","4","41","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","1","0","1","0","2","0","2","1","9","0","10","0","0","0","0","22","55","4","77","0","0","0","4"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000201","대전전자디자인고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","2","14","0","16","13","13","4","26","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","7","0","10","0","0","0","0","21","36","5","57","0","0","0","5"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000202","대전중앙고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","8","5","0","13","7","7","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","18","0","28","0","0","0","0","27","30","1","57","0","0","0","1"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000204","대전체육고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","8","4","0","12","4","6","0","10","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","2","0","2","0","0","0","0","0","1","0","1","14","16","0","30","0","0","0","0"
